# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
1.7069      , 47.059      , 11.59       , 1.432       , 45.2        , 107.3       , 22240       , 0           , 5.33        , 0.00        
1.8009      , 71.765      , 11.85       , 1.432       , 92.9        , 107.3       , 44384       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , 14.2        , 107.3       , 29589       , 0           , 5.33        , 0.00        
1.4326      , 1.569b      , 12.37       , 0.000       , 1.3         , 107.3       , 28555       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 107.3       , 27042       , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -1.3        , 107.3       , 25877       , 0           , 5.33        , 0.00        
1.5658      , 9.804       , 12.37       , 0.521       , 0.0         , 107.3       , 24898       , 0           , 5.33        , 0.00        
1.5893      , 15.294      , 12.37       , 1.042       , 5.2         , 107.3       , 24393       , 0           , 5.33        , 0.00        
1.6128      , 21.176      , 12.37       , 1.302       , 12.9        , 107.3       , 25144       , 0           , 5.33        , 0.00        
1.6755      , 39.216      , 11.98       , 1.302       , 25.8        , 107.3       , 27778       , 0           , 5.29        , 0.00        
1.6833      , 40.000      , 12.11       , 1.432       , 33.5        , 107.3       , 31314       , 0           , 5.33        , 0.00        
1.6598      , 33.333      , 12.11       , 1.302       , 31.0        , 107.3       , 33415       , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , 1.3         , 112.8       , 0           , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , -2.6        , 107.3       , 5243        , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , -2.6        , 112.8       , 7548        , 0           , 5.33        , 0.00        
1.0878      , 67.843b     , 12.37       , 0.000       , -2.6        , 112.8       , 6935        , 0           , 5.29        , 0.00        
1.0878      , 67.843b     , 12.37       , 0.000       , -2.6        , 107.3       , 0           , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.0878      , 67.843b     , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.0878      , 68.235b     , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.0878      , 67.843b     , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.29        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.37       , 0.000       , -2.6        , 112.8       , 0           , 0           , 5.33        , 0.00        
